"Date","Price","Open","High","Low","Vol.","Change %"
"24-09-2024","610.85","593.41","617.61","588.33","318.90K","2.69%"
"23-09-2024","594.83","563.71","597.87","559.42","506.98K","5.64%"
"20-09-2024","563.09","585.20","601.46","553.73","294.18K","-3.13%"
"19-09-2024","581.30","597.81","605.31","575.68","280.12K","-2.76%"
"18-09-2024","597.81","608.01","608.01","594.39","138.88K","-1.62%"
"17-09-2024","607.68","613.19","615.69","592.97","257.83K","-0.52%"
"16-09-2024","610.83","600.00","626.39","593.30","463.17K","3.02%"
"13-09-2024","592.95","594.44","601.88","591.37","183.67K","0.18%"
"12-09-2024","591.90","590.93","603.96","590.06","234.85K","0.19%"
"11-09-2024","590.80","593.12","604.94","586.12","246.26K","-0.02%"
"10-09-2024","590.93","573.05","601.88","573.05","355.86K","3.12%"
"09-09-2024","573.05","595.31","595.75","547.40","316.48K","-3.72%"
"06-09-2024","595.20","591.81","610.63","588.68","329.05K","1.11%"
"05-09-2024","588.68","598.81","607.37","580.21","376.99K","-1.38%"
"04-09-2024","596.89","583.05","609.76","582.90","383.93K","1.76%"
"03-09-2024","586.58","597.78","607.57","580.74","386.74K","-1.87%"
"02-09-2024","597.78","591.81","606.25","584.67","492.81K","1.91%"
"30-08-2024","586.58","574.89","588.75","567.80","341.27K","2.03%"
"29-08-2024","574.89","571.24","590.06","566.01","153.83K","0.58%"
"28-08-2024","571.56","576.49","579.97","564.87","176.83K","-1.00%"
"27-08-2024","577.34","577.89","585.48","572.55","174.42K","0.19%"
"26-08-2024","576.25","570.78","588.75","565.98","506.22K","0.95%"
"23-08-2024","570.82","573.14","575.11","564.78","178.67K","-0.40%"
"22-08-2024","573.10","583.03","589.86","569.92","275.13K","-1.33%"
"21-08-2024","580.82","560.29","587.43","560.29","758.86K","3.93%"
"20-08-2024","558.87","560.73","566.42","549.24","441.45K","0.09%"
"19-08-2024","558.39","577.80","586.56","549.35","765.87K","-2.83%"
"16-08-2024","574.67","541.03","579.55","536.83","956.73K","7.06%"
"14-08-2024","536.79","516.15","542.35","512.82","661.60K","4.00%"
"13-08-2024","516.15","495.03","520.46","493.67","803.50K","4.55%"
"12-08-2024","493.67","494.85","502.64","490.50","185.00K","-1.30%"
"09-08-2024","500.19","501.20","503.34","493.50","215.79K","0.27%"
"08-08-2024","498.84","488.07","511.27","483.12","575.15K","2.22%"
"07-08-2024","488.02","469.42","491.13","469.42","689.88K","4.65%"
"06-08-2024","466.36","455.57","483.19","454.93","563.37K","2.51%"
"05-08-2024","454.93","463.64","470.12","448.91","297.61K","-3.84%"
"02-08-2024","473.10","472.73","481.06","470.80","348.68K","-0.79%"
"01-08-2024","476.88","468.81","481.50","468.37","797.20K","1.89%"
"31-07-2024","468.02","467.17","474.48","463.99","287.93K","0.41%"
"30-07-2024","466.09","453.05","491.57","451.15","1.49M","3.36%"
"29-07-2024","450.93","450.86","472.70","434.64","1.80M","0.84%"
"26-07-2024","447.18","436.28","451.74","434.25","422.69K","3.28%"
"25-07-2024","433.00","434.84","446.81","429.85","242.73K","-1.38%"
"24-07-2024","439.04","435.98","442.41","432.76","444.16K","1.83%"
"23-07-2024","431.14","416.15","432.91","408.40","452.83K","3.53%"
"22-07-2024","416.43","413.68","424.16","411.55","660.03K","-0.14%"
"19-07-2024","417.02","410.13","418.03","402.62","370.01K","1.89%"
"18-07-2024","409.28","415.84","423.72","407.35","410.03K","-0.80%"
"16-07-2024","412.58","398.88","415.84","398.42","583.16K","3.76%"
"15-07-2024","397.63","401.62","406.50","394.20","200.36K","-0.82%"
"12-07-2024","400.92","409.28","413.54","398.33","111.36K","-1.99%"
"11-07-2024","409.04","413.65","414.92","407.83","88.23K","-0.35%"
"10-07-2024","410.48","415.40","415.40","401.92","148.47K","-0.81%"
"09-07-2024","413.85","407.96","417.86","405.82","156.28K","1.45%"
"08-07-2024","407.94","409.91","412.80","404.05","108.43K","-0.48%"
"05-07-2024","409.91","417.20","422.32","407.53","156.19K","-1.47%"
"04-07-2024","416.02","421.45","422.41","413.98","79.32K","-0.56%"
"03-07-2024","418.38","414.31","422.41","412.34","243.12K","1.48%"
"02-07-2024","412.28","417.75","420.44","409.28","90.17K","-0.21%"
"01-07-2024","413.13","415.30","415.32","408.01","108.34K","-0.53%"
"28-06-2024","415.34","413.22","420.61","412.78","161.46K","0.79%"
"27-06-2024","412.08","418.58","421.10","405.14","147.44K","-1.36%"
"26-06-2024","417.77","417.59","424.79","413.81","248.53K","0.78%"
"25-06-2024","414.53","413.65","418.03","411.51","215.09K","0.03%"
"24-06-2024","414.42","413.65","415.84","409.28","290.89K","0.14%"
"21-06-2024","413.83","418.91","425.47","412.34","370.45K","-0.31%"
"20-06-2024","415.10","419.87","421.38","413.39","170.24K","-0.88%"
"19-06-2024","418.80","433.79","433.81","416.83","225.19K","-3.14%"
"18-06-2024","432.37","428.10","435.04","426.83","412.65K","0.92%"
"14-06-2024","428.41","412.34","433.35","411.47","1.17M","3.92%"
"13-06-2024","412.23","407.09","413.22","404.90","452.41K","1.68%"
"12-06-2024","405.42","411.47","412.43","401.77","405.15K","0.21%"
"11-06-2024","404.59","397.46","410.59","394.83","525.03K","2.58%"
"10-06-2024","394.42","390.87","407.83","389.73","892.97K","1.95%"
"07-06-2024","386.86","385.05","393.30","382.55","248.63K","0.47%"
"06-06-2024","385.05","385.20","396.14","382.49","493.37K","0.69%"
"05-06-2024","382.40","376.36","385.64","364.67","530.85K","4.26%"
"04-06-2024","366.77","378.13","378.64","300.81","764.18K","-2.45%"
"03-06-2024","375.99","382.14","385.14","373.73","187.49K","-0.21%"
"31-05-2024","376.80","371.08","382.55","367.52","636.76K","2.90%"
"30-05-2024","366.18","367.17","373.80","364.12","278.77K","-1.01%"
"29-05-2024","369.92","356.99","372.77","356.66","557.66K","3.68%"
"28-05-2024","356.79","371.63","371.81","355.35","321.18K","-4.00%"
"27-05-2024","371.65","375.79","378.46","370.34","159.04K","-1.10%"
"24-05-2024","375.77","382.09","392.64","372.95","598.93K","-1.60%"
"23-05-2024","381.87","391.77","399.21","378.20","411.49K","-3.02%"
"22-05-2024","393.76","372.73","402.69","368.13","2.40M","6.32%"
"21-05-2024","370.36","384.76","384.76","368.20","375.31K","-57.50%"
"18-05-2024","871.40","872.05","882.00","866.00","19.23K","128.57%"
"17-05-2024","381.24","381.83","383.21","378.00","107.53K","-0.15%"
"16-05-2024","381.83","383.45","386.49","379.53","103.92K","-0.33%"
"15-05-2024","383.10","363.75","388.48","362.92","521.38K","5.76%"
"14-05-2024","362.22","371.94","371.94","361.56","168.37K","-2.65%"
"13-05-2024","372.09","363.58","375.35","358.50","260.31K","0.83%"
"10-05-2024","369.03","365.07","375.40","354.28","280.79K","1.17%"
"09-05-2024","364.76","364.19","368.46","360.25","170.02K","0.29%"
"08-05-2024","363.71","367.43","375.72","362.00","198.22K","-1.01%"
"07-05-2024","367.43","383.12","386.49","360.84","393.85K","-4.94%"
"06-05-2024","386.51","387.83","400.52","379.55","400.20K","-0.40%"
"03-05-2024","388.07","392.56","392.56","380.82","192.86K","-1.14%"
"02-05-2024","392.56","392.64","396.45","386.08","161.49K","0.08%"
"30-04-2024","392.23","383.01","399.10","382.20","397.58K","2.20%"
"29-04-2024","383.78","384.33","392.21","380.82","129.65K","0.01%"
"26-04-2024","383.76","386.95","393.96","379.20","150.69K","-0.76%"
"25-04-2024","386.71","386.82","394.39","382.33","185.95K","0.20%"
"24-04-2024","385.95","395.01","395.01","384.13","235.03K","-1.30%"
"23-04-2024","391.05","367.69","393.96","367.69","877.05K","5.90%"
"22-04-2024","369.27","372.86","375.57","355.22","166.03K","0.02%"
"19-04-2024","369.20","369.82","378.04","362.18","316.27K","-0.17%"
"18-04-2024","369.82","369.14","375.13","366.38","174.57K","0.64%"
"16-04-2024","367.47","362.86","369.88","359.86","134.72K","1.02%"
"15-04-2024","363.75","363.75","369.44","353.66","209.87K","-1.06%"
"12-04-2024","367.65","367.69","371.19","366.38","143.45K","-0.01%"
"10-04-2024","367.69","367.69","372.42","366.82","107.68K","0.21%"
"09-04-2024","366.93","374.48","378.64","366.38","390.57K","-0.80%"
"08-04-2024","369.90","374.26","374.26","365.13","686.29K","-0.17%"
"05-04-2024","370.52","364.69","372.29","360.34","682.53K","2.26%"
"04-04-2024","362.33","368.57","373.38","360.14","219.76K","-1.09%"
"03-04-2024","366.31","362.00","374.43","357.34","477.98K","1.18%"
"02-04-2024","362.05","353.25","366.82","352.22","433.38K","2.97%"
"01-04-2024","351.61","349.61","358.89","349.59","222.42K","2.36%"
"28-03-2024","343.49","341.41","347.12","339.94","181.34K","1.24%"
"27-03-2024","339.28","338.36","347.12","333.77","227.41K","0.33%"
"26-03-2024","338.17","337.05","344.25","337.05","342.33K","-0.59%"
"22-03-2024","340.18","330.92","343.40","330.49","207.47K","2.59%"
"21-03-2024","331.60","335.19","340.97","330.49","153.47K","-0.57%"
"20-03-2024","333.51","337.03","338.98","331.75","163.52K","-0.92%"
"19-03-2024","336.59","349.99","349.99","334.86","160.44K","-3.78%"
"18-03-2024","349.81","344.91","351.50","334.49","263.50K","1.41%"
"15-03-2024","344.93","342.57","349.83","335.67","267.07K","-0.32%"
"14-03-2024","346.02","317.35","347.97","317.35","424.95K","4.99%"
"13-03-2024","329.57","352.35","352.35","324.79","616.27K","-6.47%"
"12-03-2024","352.35","344.05","354.04","340.12","252.28K","1.02%"
"11-03-2024","348.80","362.11","362.11","346.68","255.63K","-2.30%"
"07-03-2024","357.03","353.51","362.26","350.18","760.67K","2.00%"
"06-03-2024","350.03","354.01","357.76","337.23","524.32K","-1.19%"
"05-03-2024","354.23","350.16","365.33","349.31","1.30M","1.60%"
"04-03-2024","348.65","350.60","361.13","347.12","266.16K","-56.42%"
"02-03-2024","800.05","806.15","807.80","795.00","15.02K","128.51%"
"01-03-2024","350.12","347.73","354.80","345.04","182.45K","1.69%"
"29-02-2024","344.30","340.12","347.56","337.12","262.99K","0.51%"
"28-02-2024","342.54","356.27","359.00","331.73","564.20K","-3.02%"
"27-02-2024","353.23","349.31","355.00","348.87","428.49K","1.18%"
"26-02-2024","349.09","353.60","357.71","348.02","352.37K","-1.35%"
"23-02-2024","353.86","352.37","359.99","348.37","467.42K","0.14%"
"22-02-2024","353.36","359.99","365.39","350.23","308.89K","-2.75%"
"21-02-2024","363.36","354.56","365.42","354.54","397.07K","1.21%"
"20-02-2024","359.00","366.38","367.08","355.26","247.31K","-1.83%"
"19-02-2024","365.70","358.50","366.75","354.91","554.62K","2.61%"
"16-02-2024","356.40","356.75","360.25","353.68","477.71K","0.12%"
"15-02-2024","355.96","352.33","359.81","348.10","838.58K","0.79%"
"14-02-2024","353.16","327.01","355.35","327.01","2.16M","5.84%"
"13-02-2024","333.68","331.80","337.49","313.87","1.38M","0.95%"
"12-02-2024","330.55","312.91","332.41","310.98","3.10M","7.79%"
"09-02-2024","306.65","314.92","317.35","302.32","408.29K","-2.08%"
"08-02-2024","313.15","313.76","318.58","305.99","741.70K","0.95%"
"07-02-2024","310.20","315.52","317.48","307.31","491.92K","-1.36%"
"06-02-2024","314.49","304.13","319.15","303.35","722.16K","3.40%"
"05-02-2024","304.13","309.01","314.27","302.03","567.93K","-0.71%"
